plant;date;height_cm;width_cm;note;health
Biggie;16.07.2024;16.0;25.0;Finally new leaves;3
Harry;16.07.2024;23.0;33.0;Missed some watering while I was away;3
Sam;16.07.2024;2.0;3.0;;3
Nosferatu;16.07.2024;36.0;20.0;Probably reaching the end of his life, flowers seem unlikely;3
Tony;16.07.2024;60.0;45.0;;3
Louie;16.07.2024;68.0;60.0;;3
Jake;16.07.2024;75.0;65.0;;3
Charles;16.07.2024;95.0;85.0;;3
Ray;16.07.2024;94.0;74.0;;3
Amy;16.07.2024;88.0;56.0;;3
Amy;16.07.2024;84.0;60.0;;3
Rosa;16.07.2024;94.0;60.0;;3
Scully;16.07.2024;88.0;69.0;;3
Hitchcock;16.07.2024;87.0;65.0;;3
Lucas;16.07.2024;10.0;7.0;;3
Nate;16.07.2024;20.0;20.0;;3
Sandra;16.07.2024;16.0;13.0;;3
Jim;16.07.2024;20.0;13.0;Seems to survive snail attacks;3
Tim;16.07.2024;19.0;12.0;;3
Chris;16.07.2024;30.0;12.0;;3
Bart;16.07.2024;16.0;7.0;;3
Bond;16.07.2024;27.0;11.0;;3
Mrs Sprout;16.07.2024;29.0;18.0;;3
Fuchur;16.07.2024;51.0;43.0;;3
Timon;16.07.2024;22.0;21.0;;3
Pumbaa;16.07.2024;29.0;29.0;;3
Avi;16.07.2024;6.0;1.0;;3
Jenn;16.07.2024;4.5;5.0;;3
Joe;16.07.2024;4.5;5.0;;3
Jack;16.07.2024;1.0;2.0;;3
Jane;16.07.2024;1.5;3.5;;3
Bubba;16.07.2024;58.0;47.0;First new leaf;3
Tupac;16.07.2024;5.0;9.0;Lost a leaf but got two new ones;3
Smaug;16.07.2024;14.0;13.0;;3
Jill;16.07.2024;3.5;3.0;Still no new growth;3
Cyrus;16.07.2024;21.0;33.0;Almost died from the heat;3
Leela;16.07.2024;10.0;25.0;Added during plant creation;3
Anya;16.07.2024;7.5;10.0;Added during plant creation;3
Tito;16.07.2024;3.0;3.0;Added during plant creation;3
Tigger;16.07.2024;4.0;5.0;Added during plant creation;3
Avi;23.07.2024;11.5;1.0;;3
